issue_id,category,subcategory,journey_stage,issue_description,resolution_steps
1,Payment,Failed Transaction,Purchase,"Customer's payment failed during checkout. Amount was debited but order not placed. Common triggers include bank server timeout, incorrect card details, or network interruption during UPI payment.","1. Check if the amount was debited from your account. 2. Wait 30 minutes — the amount is auto-refunded if the order was not placed. 3. Check your bank statement for a pending transaction. 4. If not refunded within 7 business days, raise a dispute with your bank. 5. Re-attempt the payment using a different method or card."
2,Payment,UPI Failure,Purchase,"UPI payment failed or timed out. Customer sees a 'payment pending' or 'transaction failed' status. UPI failures are often caused by VPA issues, bank downtime, or daily UPI limit being reached.","1. Verify your UPI ID (VPA) is correct and active. 2. Check if you've reached your daily UPI transaction limit. 3. Ensure your bank's UPI service is available. 4. Try after 15–30 minutes as bank servers may be temporarily down. 5. Use net banking or card as an alternate payment method. 6. Contact your bank if the issue persists."
3,Payment,Refund Not Received,Post-Purchase,"Customer submitted a return or cancellation but has not received the refund. Refunds are typically processed within 5–7 business days after the return is picked up or cancellation confirmed.","1. Confirm the return has been picked up or cancellation has been approved. 2. Refunds are initiated within 24–48 hours of pickup confirmation. 3. Bank processing may take 5–7 additional business days. 4. Check the original payment method — refunds are returned to the source account. 5. If refund is not received after 10 business days, contact support with your order ID."
4,Payment,OTP Not Received,Purchase,"Customer did not receive the OTP required to complete the payment. This could be due to network issues, incorrect mobile number registered with the bank, or telecom delays.","1. Ensure you are entering the mobile number registered with your bank. 2. Check if your phone has network coverage. 3. Wait 2–3 minutes and click 'Resend OTP'. 4. Check spam/DND settings — some DND settings block transactional SMS. 5. Temporarily disable DND and retry. 6. Contact your bank to verify your registered mobile number."
5,Payment,Duplicate Charge,Post-Purchase,"Customer was charged twice for the same order. This can happen due to network retries, double-clicks on the payment button, or system errors during payment processing.","1. Check your bank statement to confirm the duplicate charge. 2. Share the transaction IDs and bank statement with support. 3. One transaction will be refunded automatically within 3–5 business days. 4. If both transactions show as 'successful', raise a dispute ticket with your bank. 5. Escalate to the payments team with both order IDs if the issue is unresolved."
6,Account,Login Failure,Pre-Purchase,"Customer cannot log in to their account. May be caused by forgotten password, incorrect credentials, account lock after multiple failed attempts, or social login issues.","1. Click 'Forgot Password' and reset via your registered email or mobile number. 2. Ensure you're using the correct email/phone linked to the account. 3. Clear browser cache and cookies or try a different browser. 4. If account is locked, wait 30 minutes before retrying. 5. Use 'Login with Google' or 'Login with OTP' as alternatives. 6. Contact support if you cannot access the registered email or phone."
7,Account,Account Locked,Pre-Purchase,"Account has been temporarily locked due to multiple incorrect login attempts or suspicious activity detection. Security lock is automatically applied to protect the account.","1. Wait 30 minutes for the automatic lock to expire. 2. Use the 'Unlock Account' link sent to your registered email. 3. Reset your password using 'Forgot Password'. 4. If lock was due to suspicious activity, verify your identity via OTP. 5. Check for unauthorized access and change your password immediately. 6. Enable two-factor authentication to prevent future issues."
8,Account,Profile Update Issue,Post-Purchase,"Customer is unable to update their profile information such as name, email, phone number, or address. Some fields may be restricted due to verification requirements or system limits.","1. Ensure you are logged in before attempting to edit your profile. 2. Phone number and email changes require OTP verification — check your inbox or messages. 3. Some fields like legal name may require ID proof — upload a valid document. 4. Clear app cache and try again. 5. If the issue persists, contact support with the field you want to update and your account ID."
9,Account,KYC Verification Failed,Pre-Purchase,"Customer's KYC (Know Your Customer) verification was rejected. Common reasons include blurry document photos, name mismatch, expired documents, or unsupported document types.","1. Ensure the document photo is clear, well-lit, and fully visible. 2. Check that the name on the document matches your account name exactly. 3. Use a supported document type: Aadhaar, PAN, Passport, or Voter ID. 4. Ensure the document is not expired. 5. Re-upload from the Profile > KYC section. 6. If repeatedly failing, contact support with the document type used."
10,Account,Account Deactivated,Post-Purchase,"Customer's account has been deactivated due to policy violation, inactivity, or fraud suspicion. Deactivated accounts cannot log in or place orders.","1. Check your registered email for a deactivation notice with reason. 2. If due to inactivity, request account reactivation via the support form. 3. If due to policy violation, review the policy terms sent to your email. 4. Appeal the deactivation by contacting support with your account ID. 5. If fraud-related, provide identity verification documents for review."
